ts,date,open,high,low,close
1784394000,2026-07-18 17:00,64278.3,64466.0,64250.3,64450.0
1784397600,2026-07-18 18:00,64450.0,64666.0,64424.5,64477.3
1784401200,2026-07-18 19:00,64477.4,64566.0,64445.5,64526.3
1784404800,2026-07-18 20:00,64526.4,64738.2,64467.2,64665.5
1784408400,2026-07-18 21:00,64665.5,64819.2,64584.2,64697.6
1784412000,2026-07-18 22:00,64697.5,64837.4,64680.6,64774.4
1784415600,2026-07-18 23:00,64774.3,64818.1,64677.7,64806.7
1784419200,2026-07-19 00:00,64806.7,64878.8,64750.0,64756.5
1784422800,2026-07-19 01:00,64756.5,64771.8,64750.0,64750.0
1784426400,2026-07-19 02:00,64750.0,64948.8,64672.4,64795.4
1784430000,2026-07-19 03:00,64795.5,64815.8,64594.6,64686.8
1784433600,2026-07-19 04:00,64686.8,64775.2,64580.4,64692.2
1784437200,2026-07-19 05:00,64692.2,64789.8,64643.4,64695.1
1784440800,2026-07-19 06:00,64695.0,64737.7,64670.0,64682.3
1784444400,2026-07-19 07:00,64682.2,64759.3,64643.4,64692.2
1784448000,2026-07-19 08:00,64692.1,64723.5,64600.0,64678.1
1784451600,2026-07-19 09:00,64678.2,64694.0,64467.2,64495.2
1784455200,2026-07-19 10:00,64495.1,64677.7,64454.6,64561.4
1784458800,2026-07-19 11:00,64561.4,64610.0,64415.0,64445.7
1784462400,2026-07-19 12:00,64445.7,64445.7,64259.5,64417.5
1784466000,2026-07-19 13:00,64417.4,64497.9,64273.4,64453.0
1784469600,2026-07-19 14:00,64453.0,64633.0,64389.0,64561.1
1784473200,2026-07-19 15:00,64561.0,64594.7,64466.6,64545.2
1784476800,2026-07-19 16:00,64545.3,64624.8,64474.2,64510.7
1784480400,2026-07-19 17:00,64510.7,64733.0,64365.7,64520.0
1784484000,2026-07-19 18:00,64520.0,64529.1,64262.9,64399.8
1784487600,2026-07-19 19:00,64399.8,64442.2,64319.5,64438.1
1784491200,2026-07-19 20:00,64438.1,64534.3,64438.0,64515.9
1784494800,2026-07-19 21:00,64516.0,64539.0,64305.0,64393.7
1784498400,2026-07-19 22:00,64393.6,64874.9,64319.3,64642.7
1784502000,2026-07-19 23:00,64642.8,64748.1,64534.9,64694.7
1784505600,2026-07-20 00:00,64694.8,65084.6,64380.0,64526.0
1784509200,2026-07-20 01:00,64526.0,65011.0,64470.0,64594.7
1784512800,2026-07-20 02:00,64594.7,64940.0,64551.6,64800.1
1784516400,2026-07-20 03:00,64800.1,64887.0,64610.2,64839.4
1784520000,2026-07-20 04:00,64839.3,64843.4,64503.0,64511.3
1784523600,2026-07-20 05:00,64511.4,64536.1,64046.0,64101.7
1784527200,2026-07-20 06:00,64101.8,64198.3,63736.1,63890.0
1784530800,2026-07-20 07:00,63890.0,64285.5,63865.0,64250.0
1784534400,2026-07-20 08:00,64250.0,64337.0,63858.1,64031.4
1784538000,2026-07-20 09:00,64031.4,64260.0,63984.5,64176.6
1784541600,2026-07-20 10:00,64176.6,64393.2,64137.0,64280.5
1784545200,2026-07-20 11:00,64280.5,65048.3,64237.1,64970.8
1784548800,2026-07-20 12:00,64970.8,64982.0,64571.0,64627.2
1784552400,2026-07-20 13:00,64627.1,64737.5,64174.5,64315.0
1784556000,2026-07-20 14:00,64315.0,64550.0,64034.3,64393.0
1784559600,2026-07-20 15:00,64393.0,65688.0,64386.8,65570.1
1784563200,2026-07-20 16:00,65570.0,65615.5,65301.8,65478.6
1784566800,2026-07-20 17:00,65478.6,65642.0,65313.9,65560.0
1784570400,2026-07-20 18:00,65560.0,65788.0,65168.0,65215.8
1784574000,2026-07-20 19:00,65215.7,65256.1,65011.4,65119.3
1784577600,2026-07-20 20:00,65119.3,65435.3,65030.2,65344.7
1784581200,2026-07-20 21:00,65344.8,65416.4,65241.6,65258.5
1784584800,2026-07-20 22:00,65258.4,65258.5,65061.2,65118.7
1784588400,2026-07-20 23:00,65118.8,65244.9,65098.8,65224.8
1784592000,2026-07-21 00:00,65224.7,65561.0,65115.3,65538.9
1784595600,2026-07-21 01:00,65538.8,65634.4,65202.1,65205.1
1784599200,2026-07-21 02:00,65205.1,65479.5,65145.1,65386.4
1784602800,2026-07-21 03:00,65386.5,65572.2,65380.0,65539.5
1784606400,2026-07-21 04:00,65539.5,65723.0,65453.5,65494.2
1784610000,2026-07-21 05:00,65494.2,65927.9,65460.1,65724.9
1784613600,2026-07-21 06:00,65724.8,65970.0,65604.8,65892.4
1784617200,2026-07-21 07:00,65892.5,66240.0,65828.2,66166.9
1784620800,2026-07-21 08:00,66166.8,66337.8,66103.4,66200.0
1784624400,2026-07-21 09:00,66199.9,66320.4,66110.0,66261.2
1784628000,2026-07-21 10:00,66261.3,66390.0,66145.5,66161.1
1784631600,2026-07-21 11:00,66161.0,66333.0,66117.1,66317.9
1784635200,2026-07-21 12:00,66317.9,66618.0,66236.0,66527.7
1784638800,2026-07-21 13:00,66527.7,66777.0,66290.4,66748.8
1784642400,2026-07-21 14:00,66748.7,66924.1,66609.0,66804.3
1784646000,2026-07-21 15:00,66804.3,66804.4,66487.9,66648.5
1784649600,2026-07-21 16:00,66648.5,66736.7,66428.5,66507.1
1784653200,2026-07-21 17:00,66507.1,66537.1,65939.0,66181.1
1784656800,2026-07-21 18:00,66181.1,66333.0,66071.2,66287.5
1784660400,2026-07-21 19:00,66287.6,66467.4,66230.0,66409.5
1784664000,2026-07-21 20:00,66409.4,66465.6,66326.3,66373.8
1784667600,2026-07-21 21:00,66373.8,66380.8,66261.7,66352.4
1784671200,2026-07-21 22:00,66352.4,66352.6,66172.0,66271.2
1784674800,2026-07-21 23:00,66271.3,66544.8,66200.0,66522.4
1784678400,2026-07-22 00:00,66522.3,66711.0,66503.9,66591.7
1784682000,2026-07-22 01:00,66591.8,66629.3,66253.0,66399.9
1784685600,2026-07-22 02:00,66399.9,66513.8,66264.9,66283.2
1784689200,2026-07-22 03:00,66283.2,66343.4,66141.7,66176.7
1784692800,2026-07-22 04:00,66176.6,66399.0,66161.4,66349.3
1784696400,2026-07-22 05:00,66349.2,66349.3,65909.1,65954.5
1784700000,2026-07-22 06:00,65954.4,66000.0,65800.1,65906.8
1784703600,2026-07-22 07:00,65906.7,65941.5,65668.6,65813.4
1784707200,2026-07-22 08:00,65813.4,66140.5,65813.4,65953.5
1784710800,2026-07-22 09:00,65953.4,66053.2,65816.4,65896.4
1784714400,2026-07-22 10:00,65896.3,66077.3,65861.4,66016.2
1784718000,2026-07-22 11:00,66016.2,66057.9,65872.1,65981.4
1784721600,2026-07-22 12:00,65981.3,65986.0,65505.0,65604.2
1784725200,2026-07-22 13:00,65604.1,65956.0,65531.7,65924.9
1784728800,2026-07-22 14:00,65924.9,66190.4,65556.3,65770.2
1784732400,2026-07-22 15:00,65770.2,66100.0,65770.0,66014.8
1784736000,2026-07-22 16:00,66014.8,66363.6,65877.0,66199.7
1784739600,2026-07-22 17:00,66199.8,66249.3,65912.6,65997.5
1784743200,2026-07-22 18:00,65997.5,66052.8,65701.2,65860.5
1784746800,2026-07-22 19:00,65860.6,65924.0,65650.2,65891.1
1784750400,2026-07-22 20:00,65891.2,65954.3,65753.0,65887.8
1784754000,2026-07-22 21:00,65887.8,66103.1,65853.2,66034.5
1784757600,2026-07-22 22:00,66034.5,66046.0,65891.8,66013.8
1784761200,2026-07-22 23:00,66013.9,66116.5,65808.5,66082.0
1784764800,2026-07-23 00:00,66082.0,66284.1,66020.0,66023.8
1784768400,2026-07-23 01:00,66023.8,66180.0,65715.9,65793.8
1784772000,2026-07-23 02:00,65793.7,65808.9,65616.3,65777.4
1784775600,2026-07-23 03:00,65777.4,65788.2,65548.0,65626.8
1784779200,2026-07-23 04:00,65626.7,65710.0,65558.0,65585.3
1784782800,2026-07-23 05:00,65585.4,65764.8,65543.1,65663.9
1784786400,2026-07-23 06:00,65663.9,65793.7,65593.9,65763.2
1784790000,2026-07-23 07:00,65763.3,65763.3,65313.7,65405.3
1784793600,2026-07-23 08:00,65405.3,65637.2,65383.6,65605.9
1784797200,2026-07-23 09:00,65605.8,65732.3,65573.8,65607.9
1784800800,2026-07-23 10:00,65607.9,65756.6,65555.1,65704.2
1784804400,2026-07-23 11:00,65704.1,65709.4,65511.0,65525.4
1784808000,2026-07-23 12:00,65525.4,65557.8,64927.3,65138.0
1784811600,2026-07-23 13:00,65138.0,65215.3,64839.1,64858.6
1784815200,2026-07-23 14:00,64858.7,65197.0,64801.0,64884.6
1784818800,2026-07-23 15:00,64884.7,65003.6,64696.2,64940.4
1784822400,2026-07-23 16:00,64940.4,64940.5,64688.0,64731.4
1784826000,2026-07-23 17:00,64731.5,64877.6,64636.0,64654.4
1784829600,2026-07-23 18:00,64654.4,64924.9,64654.3,64842.5
1784833200,2026-07-23 19:00,64842.5,64908.1,64670.0,64820.7
1784836800,2026-07-23 20:00,64820.7,65176.0,64809.7,65117.7
1784840400,2026-07-23 21:00,65117.6,65183.1,64979.9,65137.4
1784844000,2026-07-23 22:00,65137.4,65193.5,64976.7,65158.2
1784847600,2026-07-23 23:00,65158.2,65189.5,65018.8,65069.6
1784851200,2026-07-24 00:00,65069.6,65084.0,64733.2,64953.1
1784854800,2026-07-24 01:00,64953.0,65146.4,64912.4,65053.2
1784858400,2026-07-24 02:00,65053.2,65164.8,64890.5,65091.8
1784862000,2026-07-24 03:00,65091.8,65436.8,65045.0,65425.4
1784865600,2026-07-24 04:00,65425.5,65440.0,65235.4,65281.9
1784869200,2026-07-24 05:00,65282.0,65365.9,65213.0,65282.3
1784872800,2026-07-24 06:00,65282.4,65490.0,65245.6,65441.6
1784876400,2026-07-24 07:00,65441.6,65780.0,65338.0,65470.0
1784880000,2026-07-24 08:00,65470.1,65477.2,65274.5,65274.6
1784883600,2026-07-24 09:00,65274.6,65290.7,64919.7,65088.1
1784887200,2026-07-24 10:00,65088.2,65132.2,64878.0,64927.8
1784890800,2026-07-24 11:00,64927.7,65073.6,64821.9,65045.7
